Username;Comment;Target
;Kritis otak lau kritis hahhaha;['None']
;pks goblog kok dipelihara;['None']
;PKS Partai Kont l Sapi PAN Partai Anjink Ngent t dan Gerindra Gerakan Intimidasi Rakyat partai ini adalah partai pengkhianat;['None']
;PKS Partai Kumpulan Selangkangan;['None']
;PKS Partai Kumpulan Setan yg akan menyiapkan cawapres;['None']
;PKS babunya IM;['None']
;PKS Partai Komunis Sejahtera;['None']
;Pks pki ideologi isis;['None']
;Pks apa psk sih iniiii kok kotor sekali sih;['None']
;Pks asu;['None']
;PKS ASUUU;['None']
;Selama bukan kafir makan duit umat ga haram hidup islam radikal;['None']
;Selama dia tidak pulang untuk menyelesaikan kasusnya agar tau salah atau benar maka selama itu juga dia akan di cap sebagai manusia cabil;['None']
;Selama ini gw berpikir PKS partai paling najis dgn kasus korupsi paling nista korupsi sapi impor terus duitnya dipake buat main pecun Terus ada kadernya tertangkap ngentot sama abg di mobil Gubernur sumut di gatot ketangkap KPK krn korupsi dana banso;['None']
;Selama ini lo ngocok pele r ya di situ;['None']
;selama ini org yg nyerang pemerintah yg sah siapa ya yg teriak isu PKI memfitnah presiden PKI antek aseng asing dll siapa kw kejam rudolfo;['None']
;N_Target Itu mmg benar dsni tidak prnh mnyediakan berita HOAX sprti kaum bani onta ahli coli jamaah adakah yg demo penistaan agama Coba klau yg kya gtu orang lain terlebih pak ahok atau pak jokowi udah habis an fpi demo bersilit akan tetapi pak aho;['ongis9']
;N_Target ngga semua yg teriak Allah itu Islam BEGO isis beda sama Islam TOLOL isis bukan Islam GOBLOK;['703_jp']
;Susah emang ahoker kontol jokower kontol;['None']
;susah emang bani taplak nggak punya akal logika serba bener bacotnya;['None']
;Susah emang kalo mental pengemis mah Otak sama pantat kalo gk simetris yah bgitu klakuannya;['None']
;susah emang klo org udh buta mata buta hati otak seupil paket lengkap dn hiduppun gak lengkap tanpa menebar kebencian itulah kaum kolor pamakan deddeekk ayam;['None']
;Susah emang ngilangin habbit N_Target kyknya dese pya kepribadian niy Makanya emak gw gw larang suka ngaji ketempat ustadz yg nyari makan dr dakwah Banyak kok ustadz yg berez Tp biasanya gak masuk tipi Jangan dicontoh ye bal;['balifta']
;susah emank kalau d jelasin ke cebong kita pakek dalil juga mereka ga akan paham org iq nya ga nyampek ngomongin dunia aja ga nyampek apalagi akhirat ketinggian breh;['None']
;Tangkap aja kotoran ini;['None']
;Tangkap amin hari tanoe horeee;['None']
;tangkap anjing yg ngepost ni kurung dia;['None']
;tangkap bajingan seperti ini yg ga berani tampakan muka jeleknya;['None']
;Tangkap bakar hidup;['None']
;Tangkap bakarr nih orang perusak generasi doang lu admin goblok;['None']
;Tangkap bawa k rumah gua kasih makan buaya si asu kirik;['None']
;Tangkap buronan laknat itu;['None']
;Tangkap cepetan baut odong ini;['None']
;Tangkap dan di masukin ke bui aja si orang ini N_Target;['fadlizon']
;Tangkap bakar gantung manusia biadab yg Sudah menghina ibu negara gw;['None']
;Tangkap dan telanjangin sekalian diarak dan bonyok tuh wajah dan tangannya kog kurang ajar kebangetan Pasti orangnya jelekkk dan tidak punya pekerjaan nih orang tega banget menghina kepala negara;['None']
;Tapi bibib ngajarin kemaksiatan yaa kalo yg dukung mungkin Wkwk sudah lh ya;['None']
;Tapi dibela kaum bani cabul al togelu wal dajjalu hahaha;['None']
;N_Target gak pernah sekolah kah kamu sampai mulut mu gak berpendidikan seperti gak sekolah buang waktu ladenin org gak jelas sdh kata udah gak kaya org berpendidikan Mikir malu sama muka euyyyy;['agytha']
;N_Target begini nih tingkah laku cebonger ahoker projo hahahaa otak nya di taro di bol;['ahmad_napitupulu']
;N_Target heeyy lebih biadab lu dasar bani serbet lu mau terkenal ye ntr gue bikin terkenal;['ahmad_napitupulu']
;N_Target situ yg gak paham Ulama gak dijaga siapa lagi yg bakal jadi imam Bodo dipelihara Itu maksudnya bro;['albudiono979']
;N_Target akun lu aja lebih sampis gimanaa omongan lu lebih dipercaya;['angga_widi87']
;N_Target lahh ko makin tolol nih orang wkwkwkwk mana gua tauu karna gua bukan anggotanya bodooh;['angga_widi87']
;N_Target masyarakat ga berpendidikan gua tanya malah balik nanya Malu sm anak lu tuh wkwkw;['angga_widi87']
;N_Target mblo Lu kali tuh duda yg disuruh ngurus anak ama mantan istri wkwk ya gpp berpendidikan drps muka lu muka susah wkwk;['angga_widi87']
;N_Target muka lu kaya homo wkwkw;['angga_widi87']
;N_Target ngomong sok berbobot tapi gk jauh dari tong kosong;['angga_widi87']
;N_Target ya emg sih muka lu mirip muka orang utan wkwkkwk;['angga_widi87']
;N_Target hahaha akun busuk Lu ae mati duluan;['gung']
;N_Target Memang harusnya jalan satu satunya adalah hukuman mati untuk orang kafir seperti ini karena endingnya pasti minta maaf jujur saya melihat orang seperti ini panas hati saya semoga orang ini mati secara tragis amiiinn H;['kebangkitan_212']
;N_Target barusan gua lihat n nyadar muke lu tuh mirip bgt yg kyk ngasih kartu kuning ke gembrut anak mami n kyk gay gt;['rafimuhammadi']
;N_Target buktikan tangkap bantai ramai ramai klo anda tau keberadaan pki jgn cuma koar koar bacot gk jelas bikin resah masyarakat;['rafimuhammadi']
;N_Target sabar mblo knp harus emosi toh emang faktanya muke lu mirip ama otak dongo gay itu maaf mblo klo gua salah;['rafimuhammadi']
;N_Target nih bilangin sama saudara lo yg pura gila hahaha;['suriyati_d']
;Anak mana anjing ini min;['None']
;Anjing anjing gue bunuh lo kmprett;['None']
;Anjinx;['None']
;Apik tenan kyie ceramah e pas banget buat cebonger yang doyan lubang tai;['None']
;Astagfirllah semenjak ada si nganu jd byk yg berani berkata kasar kpd agama lain ya pdhl islam tdk pernah seprrti itu klu bisa cari lah tuh perempuan laknatullah mulut wc atau jamban kasih efek jera dikit biar tau sopan santun biar sadar klu di indon;['None']
;Aye dukung bang serampang kaki nye injek batang leher nye ntuh orang gile jadian bersatu jawara betawi;['None']
;Bacok bang ketemu orangnye;['None']
;Bajingan ni bocah jangan di ampuni kalo ditemukan hidup langsung bunuh kalo mati langsung di bakar;['None']
;Bantai muka kaya babi KAFIR ini halal darahnya;['None']
;Bisa hancur negri tercinta ini klo byk cukong dan aseng;['None']
;Bunuh aja yg gnggu ulama kt Sya siap jihat demi agama sya Allahu akbar;['None']
;Dasar cebodat;['None']
;Di bacok aja ni anak anjing;['None']
;Gilanya kan di bikin ama sutradara PKI yg malu untuk terang an alias banci;['None']
;Go blok;['None']
;Gorok skalian bang pelakunya;['None']
;Hajar bang;['None']
;Halah yg nyerang jg paling orang lu sendiri Sok jadi korban mulu menyedihkan Mati ae sono;['None']
;Halal darahnya;['None']
;Halal di bunuh;['None']
;Harusnya di mampusin orang;['None']
;Harusnya dimusnahkan org yg menyepelekan agama amsudah menghina dgn enteng dan ga ada rasa takutnya dia mnta maaf;['None']
;Indukannya liberal pasti anakannya juga liberal buah jatuh tidak jauh dari pohonnya itulah orang yg munapiq kasian gusdur lagi di pukuli malaikat karna kelakuan anaknya;['None']
;Kafir laknat;['None']
;Kafir laknut;['None']
;Kuatkan barisan sepertinya rezim INI sudah mulai menggila;['None']
;Lonte busuk;['None']
;Macam macam gibeng aja siap;['None']
;Mampus bani konde kampret;['None']
;mantap bang tebas lehernya yg coba bunuh ulama;['None']
;Mantap biar kapok buntungin aja dulu tangan nye bang masalah gila apa gk gila belakangan;['None']
;Mantapp bang Hajar tuh preman gila;['None']
;MasyaAllah semakin berani ya ketemu ni orang langsung injek bonyok foto baru upload abis itu lemparin ke kandang buaya;['None']
;Memang otak babi yg survei Goblok survei abal abal alisa survei sampah;['None']
;Merinding Siap aja buat menumpas nya;['None']
;O Wahid found Antek zionis rupanya Baru tau gw;['None']
;orang gila;['None']
;Pijakkan batang lehernya;['None']
;Pura pura Gillaaa Hajar aja biar kapok sekalian Nyawa dibayar nyawaaa;['None']
;Raja kodok skalian sama pengikutnya lagi panik dgn tagar ganti presiden;['None']
;REKAYASA REZIM BIADAB;['None']
;Seandai nya kita ketemu gua pasti akan bunu lu mba jangan menghina Muhammad Rasullah dan agama kami;['None']
;semoga orang gila bunuh kapolri;['None']
;Si kamvret kudu di jotoooossss;['None']
;Sianjing;['None']
;Tempel trusss IB HRS jgn sampai di sentuh atau di lukai sma PKI bangsat;['None']
;Wahai saudaraku pertahankanlah para ulama kita Jika ada fatwa jihad dari ulama alumni baru kita habisi mereka;['None']
;Yes syukak kau menertawakan sekali saja itu sudah kafirrrrrrrrrr tak perlu minta maaf;['None']
;N_Target bener bro heran gw sama pendukung nya amis baubadan wkwkwk;['mariofermi94']
;N_Target kamu jurusan ipa Kok malu in bgt nggapernah diajarin sama gurunya dek kalo baca tuh jangan setengah Bagaimana memaknai sebuah kalimat kalau cuma setengah yang kamu kaji Generasi micin ya dek;['theosenpaiii']
;Adminya kek tai ngakak gue ga udah udah min wkwkwkwkwkwk;['None']
;Ahok Korup Hukum mati Kwkwkwkw;['None']
;awas om tar kaum sumbu pendek terpelatuk;['None']
;Bangga harus nya Sarung itu udh jelas khas yg suka dipake org indonesia kalo ke masjid Pada oon gak bangga sama budaya indonesia;['None']
;Begonya udah kelewat batas ni wkwkwk;['None']
;bejat emang rakyatnya jga wkwk;['None']
;brengsek lu min;['None']
;coba tengok gelarnya mimin Psikolog tapi dia yang gangguan jiwa sendiri;['None']
;Dasar goblokkk lu paham gak sih arti kata dubes mantan ob pea;['None']
;Dhani sekarang kere banyak harta nya sudah terjual yg belum terjual tinggal mulan siapa yg mau diobral barang nya masih mulus dijamin masih tokcer cuma bensin agak borozzz z;['None']
;Di cek ajalah apa sih yg bisa diumpetin buktiin yg katanya balikin modal yg repot kl dana kampanye dari c kong balikinnya minta lipet nyengsarain rakyat kaya itu tuh masi;['None']
;Elu nya aja yg goblok bandung pertama tanya dulu walikotanya gobloookkk baru ahernya klo walkotnya ga bisa diklarifikasi yang kena beginian cuma goblok bin tolol;['None']
;Fahri mulut mu bau taeeeekkkkk ONTA BAHLUL;['None']
;fangsat lucknut auto kafir;['None']
;Fuck buat para koruptor;['None']
;habib setan udah bodo sok sokan lu N_Target N_Target;['rah', 'lisa_oktapiani']
;Hahahahahahahahha kesian ye bibib emang dia ceramah kl pake ac produk sapa mw kmana naek mobil produuk sapa kipas angin produk sapa kaga ngaca sy muslim tp benci apa habib krn semua ceramahnya mengandung saa;['None']
;He he bego bgt dr tglnya aja udh gk ada di peredaran;['None']
;Islam arab kampang;['None']
;ISLAM KONTOL GITU;['None']
;Itu muka purba amat;['None']
;Jaksa kentir yo koyo ngene v;['None']
;Kalau mau tau apa itu mulan ialah makhluk luar angkasa yg tersesat di bumi menclok dirumah dhani tapi makhluk nya cantik lo dan bikin gemes siapa yg lihat monggo ditawar saja melalui fax ke mr Dhani dengan no;['None']
;Kalo git Ente ceramah telanjng aje bib Pakean ente njaitnya pake mesin jait bikinan kafir Hiii;['None']
;Krn mereka pas pembagian otak mereka ga hadir jdnya skrg kepala mereka ga ada otak isinya kotoran semua jd dikit pikiran kotor dan jorok;['None']
;Licik picik entah bingung mo ngmong ap sm species ini munafik bgt soalny;['None']
;MAMPUS LU ISLAM ANJING;['None']
;Mantap simple paka ahok gk kyk sebelah kbnyakan cocot;['None']
;Mending lu nulis di buku diary aja njing gak guna orang tolol macam lu main FB v;['None']
;Mereka yg mengusik pemerintahan itulah belatungnya harus segera dimusnahkan kalau tidak akan menebarkan penyakit pada yang laen;['None']
;Mulut comberan;['None']
;Otak laskar fpi yaa kaya gini;['None']
;otaknya emang dah somplak malah nyalahin Jokowi katanya Jokowi gak memperkuat KPK;['None']
;pandai menempatkan diri L;['None']
;Penjilat;['None']
;profesor jaman batu otaknya ky begini provokator kl ud jd tersangka baru deh berlagak BODOH minta dikasihani fu k off;['None']
;Rizik pengacau bersorban;['None']
;Si rijik emang manusia mulut sampah;['None']
;Tapi anehnya cina sekarang bnyk lgbt dan dajjal nya hahahh;['None']
;UDAH KALAH JUNJUNGAN KAU ITU KAMPRET BANYAK KALI CERITA KAU;['None']
;Udah pernh tes psikologi yah hasilnya apa coba pasti berindikasi psikopat;['None']
;Wihhhhhh Syang ya Gelar Psikolog nya smpai Magister tp Otak dan Fikiran nya kek gini jgn gelar nya itu beli lagi;['None']
;Ya allah neh bibib kyk tuhan teriak boikot cabut jabatan demo emang dia siape;['None']
;Yah gamikir mao aja negri sendiri dikuasain cebong asing beginilah kalo sampah bicara politik;['None']
;Yak lo gada kerjaan juga emg ngomentarin kerjaan org lain Smaa sama sampah mah gausah sok bener pak;['None']
;yg ud pasti sih baru TOLOL doank min ga tau kl nanti ada komplikasi jd belaga GILA;['None']
;Orang BERJENGGOT itu GOBLOCK katanya Saya yg BERJENGGOT mendoakan semoga beliau diangkat penyakitnya dan di beri hidayah untuk jalan kebenaran;['None']
;N_Target bego bolehhh tp jangan permanen Ud nyata dibilang hoakkk Otakkk tolooolll kaya rijik n somed;['_8055_k4mvr3t']
;N_Target enakkk tohhh Anak hasil gelap rijik;['_8055_k4mvr3t']
;N_Target enalkk tohh masa babi dibuat olloh lok haramm Dasar Anak hubungan gelap rijuk;['_8055_k4mvr3t']
;N_Target otak rijikkk emang tai makhluk idup Kalo otak sama kaya rijikkk lah susahhh Isinya toket n memekkk trussa;['_8055_k4mvr3t']
;N_Target udah taik mhkluk idup Tololl boleh tp jangan permanen kaya rijikkk and somed;['_8055_k4mvr3t']
;N_Target ya namanya juga Babi bro pasti muke aslinya mirip babi tuh si N_Target;['_8055_k4mvr3t', 'buriburiizaemon']
;N_Target klo yg suka maki dan fitnah yg suka berita hoax kok ngetag kami ya iblis keabisan follower atau keabisan nama utk akun kloningan caper amat klo gak caper gak dibayar si asu penjual ayat ya;['_pahlawan_bertopeng']
;N_Target cebongers kebanyakan makan tokai jadinya bego udah bego tambah bego jadi dungu;['1bong1digit']
;N_Target itu bencong tertolol bang awas nanti di gigit;['1bong1digit']
;N_Target iya bang itu bencong burik ud di tolak berkali masih aj gila;['1bong1digit']
;N_Target yaaaah engkong baru ge nontot ko dah pada pulang;['1bong1digit']
;N_Target;['a2llysa']
;N_Target adek ayo pergi jangan deket sama cebong tololisasi kayak N_Target itu bisa ketularan nanti;['a2llysa', 'jendral']
;N_Target hahahahaha maklumin ajah dah Otak Tokai Mulut Pantat jadi satu semua disituh;['a2llysa']
;N_Target ouuuh itu bencong toh Yang penyuka lobang tokai yaaaa iiih jijaaaaaaay weeeewwk;['a2llysa']
;N_Target armando betul betul sudah gila harus dibawa ke rumah sakit gila grogol ngaku_ngaku punya Perlindungan Allah swt tapi teman temanya LGBT munafikun orang orang penista agama penista Al Quran penista kanjeng Rasul penista para ulama tukang ngusi;['Ade']
;N_Target dasar cebong Di islam dijelaskan kriteria memilih pemimpin di Alqur an jelas gatau ya oo bukan islam islam kerat kaitan sama politik jika islam tidak berpolitik makan islam akan dipolitik tolol;['alifauziyan']
;N_Target berkata N_Target GADUNGAN ITU ORANG BODOH YG LG PURA PINTER SESUNGGUHNYA DUNGU;['andymubarok_212', 'ustad']
;N_Target PKI yg titit nya blom di sunat;['arifafrizal12']
;N_Target cewek lonte dia mah maklumin lah sdh ga punya harga diri klo ke jkrt juga palingan jajakan diri dijalanan mari doakan semoga sadar diri;['arkhom_maulana_malik']
;N_Target goblok hoax dipercaya;['ayi28irwandi']
;N_Target babi;['buriburiizaemon']
;N_Target BABI PENGECUT OH YA KAN BABI PADA DASARNYA PENGECUT;['buriburiizaemon']
;N_Target gw pengen ketemuan sama loe nih Babi mau gak;['buriburiizaemon']
;N_Target tolol bin bodoh;['buriburiizaemon']
;N_Target tolol bin bodoh;['buriburiizaemon']
;N_Target Woy babi medsos pemakan tai Berani lu muncul ke mari;['buriburiizaemon']
;N_Target supaya otak otak rijik kaya elu sembuh Hahahahahhahahahahahahhahahahahahahahahahaha;['corongpublik']
;N_Target tampol enak nih;['dhanmadhan19']
;N_Target goblok bgt komenan lu ah bocah Kaya jawab pertanyaan anak TK gua;['dvikaaaaa']
;N_Target jakarta kemarin banjir azab kelakuan;['fananipohan']
;N_Target kalo tu tai dan kencing onta bakal emak lu gratisan tuh nnti dibawain;['jabrik_grey']
;N_Target wiwikuwi yg sering masuk got cari muka wong ndesssoooo mulutnya bau ngoahahaha;['jaluhprasetyo']
;N_Target auaaahhh dark prblem with u Bencong di tolak ngamuk;['jendral']
;N_Target banci di tolak ngamuk kaciannn deh cong Muka aj ga berani nunjukin kenapa Takut ketauan bencong ya Takut ketauan burik ya Wkwkkk;['jendral']
;N_Target banci jangan tagged eyke jijik Sok kenal;['jendral']
;N_Target baru lihat eyke di niqab ud stress u cong Gimana klo tau lihat muka asli eyke bisa makin gila u yang ada eyke tolak wkwkkkk;['jendral']
;N_Target bencong teriak bencong kenapa u Curhat ya Mana muka u cong Cinta di tolak ngamuk n fitn;['jendral']
;N_Target bencong triak bencong Nyali kok cma di medsos Wkwkwkwkwk;['jendral']
;N_Target bencong loe kali;['jendral']
;N_Target btw u aj private pakai protes Cong semakin u ngoceh smakin idiot Malu aahhh sama teman u yang bencong burik;['jendral']
;N_Target btw cong Kaum ahoker banyak tuhhh yanh ngomongnya narsis pakai eyke etc segala dasar idiot Makanya di crosscheck jangan idiot maximum;['jendral']
;N_Target bye bencong tinggal dulu ya btw klo ud di tolak jangan gila or bunuh diri;['jendral']
;N_Target cong yang pengecut siapa Ngapain u minta pertemanan pakai accnt fake Pakai accnt asli u cong Dasar idiot;['jendral']
;N_Target eyke lebih najissss ma u Sok kenal n ngejar terus padahal ud di tolak berkali;['jendral']
;N_Target klo bukan bencong bikin pp muka asli kenapa takut ya Ketauan bencong burik btw eyke mo di p;['jendral']
;N_Target makanya main yang jauh cong Anak gaul cwek banyak yang ngomong eyke itu wajar Tapi klo cwok ngomong eyke itu ga wajar Haddeeeehhh dasar bencong burik iri aj makanya klo ga tau jangan sok tau dasar;['jendral']
;N_Target makanya main yang jauh cong jangan main di comberan terus jadiny teman bencong u yang ngomong pada narsis bisa u lihat;['jendral']
;N_Target sorry ya ga terima followers kaum banci burik najisss Kaciannn eyke tolak sakit hati wkekkkk;['jendral']
;N_Target suka eyke prblem with u cong Intiny hanyalah orang tertentu yang tau diriku;['jendral']
;N_Target wkwkakwk ada orang tololisasi sejagad masih belum menemukan ketololan yang nyata;['jendral']
;N_Target iya wan Begitulahhh para cecunguk dungu yang gk berotak;['kemal_pramayudha']
;N_Target orang goblok udah lihat berita asli belon;['kusumaenda19']
;N_Target begoooo Kalo postingg liat dulu idiot;['muslimalqassam']
;N_Target beraninya cm banned fb akhy cebong laknat;['muslimalqassam']
;N_Target IQ jongkok cebong khy;['muslimalqassam']
;N_Target maaf khy chico cm bacot nyali hello kitty ingin nabok mulut org gtu;['muslimalqassam']
;N_Target ulama asuu;['muslimalqassam']
;bubarkan aja gp ansor organisasi yg dipenuhi orang munafik;['None']
;Bukan yang goblok yang g menang tapi cebong sekarang panik;['None']
;bukannya terlihat pinter malah kelihatan bodohnya bikin malu az sama az orng mo lahiran di tangani dokter gigi ngawur;['None']
;bunuh aja;['None']
;Bunuh aja bunuh;['None']
;Bunuh aja tu orang gila;['None']
;Bunuh akunnya;['None']
;Cabul bong;['None']
;Cabutin aj kukunya;['None']
;cari sampai dapat halal darahnya hukum rimba BERLAKU buat IBLIS penghina ULAMA;['None']
;Cariiiiiii tu munafikun Jng ksih kendor;['None']
;Catat partainya tumbangkan mereka china adlah benalu dlm daging utk NKRI;['None']
;Cebong kafir G tau ilmu g tau sejarah tp bacot nya kya yg srba tau Sblm blajar ilmu dan sjarah tntang islam ni cebong kafir hrs nya blajar dl ilmu dan sejarah Kristen yg benar dan yg sebenarnya Cebong kafir cma bs cocot di medsos di dunia nyat;['None']
;Cebong kan gak ada otak Apalagi junjungannya;['None']
;cebong lu nikah aj ama lgbt daripada ngomong gak jelas;['None']
;cebong malah senang bisa nyelam bareng nahkoda aman iya aman ndas mu wi;['None']
;Cebong nya pg goblok bin tolol min Bkan kurang otak lg tp emg kaga punya otak min Mikir nya z pke dampal kaki Wkwkwkwkwk;['None']
;Cebong pea Klo nangis didpn lobg anus ya;['None']
;Cebong udah fitnah habib yg buktinya diragukan eh junjungan nya yg hancur diselingkuhin kejang dah lu bong wkwk;['None']
;Dasar Dubur;['None']
;DASAR GOBLOK GK PUNYA OTAK YG PUNYA IDE;['None']
;Dasar otak bahlul tuh orang Susah fitnah buat alquran Coba dengar kata pak UAS tentang ayat tersebut Ayat itu bukan menjelaskan tentang menghalalkan LGBT ato homo sejenisnya Parah neh orang;['None']
;Dasar pecundang;['None']
;Dasar penyembah patung emang;['None']
;Dasar tua bangka;['None']
;Dasat kambing lu;['None']
;Jgn percaya PDIP nipu wong cilik kerjanya;['None']
;Orang ratusan saja bilang jutaan dasar pengikut setan iblis boneka pki china;['None']
;Munafikun pengikutFREEMASONRY;['None']
;BU SUK MU LEBIH MENYENGAT DARI BUSUKNYA KAFIRR FIRAUN;['None']
;Hnya d pmrinth skrng mrka pd kurng ajar sm mayoritas trutama kaum munafiik;['None']
;muak sama banser yg ga jelas dan gp ancur;['None']
;Hanya ada di rezim tongkol orgil bunuh kiai;['None']
;N_Target ciyus bebeb ehhh mau pisang gak;['lovitasd']
;N_Target kalo di punggung itu namanya moshing;['lovitasd']
;N_Target kamu selalu ada di keningku dong;['lovitasd']
;N_Target kamu semakin membuat jidatku galau;['lovitasd']
;N_Target kepencet pisang mimin euy;['lovitasd']
;N_Target habib kok g balik;['mirza_sitanuri']
;N_Target kenapa ahermania su udzon Oh iya emang kerjaan;['mirza_sitanuri']
;N_Target yalah Mak banteng udh siap nyeruduk Wkwk;['mirza_sitanuri']
;N_Target benerin dlu ibadah lu sok an bawa ayat suci;['r_palevi']
;N_Target bibib kemana yaa Kok umroh lama amatt;['riyannuryanto']
