Username;Comment;Target;Label (0/1)
dhe_ci_11;Cebong mana cebong yg selalu bilang isu PKI hanya hoax belaka;['None'];Hate
dian_putra3676mdpl;Cebong mna ada yg d akui;['None'];Hate
ajo6039;Cebong susah untuk di sembuhkan;['None'];Hate
arini_indah_1329;Cebong takuuuuuut;['None'];Hate
lenaria6;Cebong tolol bin togog lebihh guooblog;['None'];Hate
vinobanks;Cebong tuh sipit;['None'];Hate
widia_qholby;Cebong yang dengar mah masuk telinga kanan keluar telinga kiri;['None'];Hate
_inthan_;Ceceb sekolam manalah ribut;['None'];Hate
rizkipaull;China anjing;['None'];Hate
aizets;China kafir bunuh halal;['None'];Hate
moch.firmansyah2;China komunis berbondong masuk ke Indonesia makin ga ketauan;['None'];Hate
aullioadi78;China kontol tapi di pungut terus pemerintah edan;['None'];Hate
aciikmw;China merajalela skrg Minta di matiin tuh org;['None'];Hate
nunung5747;China semakin ngelunjak;['None'];Hate
dnmrtofficial;China tai anjing ga sadar tinggal dimana malah semena bangsat lu cina pulang sono ke tiongkok paling di sana lu lu pada cuma jadi pengemis sadar lu;['None'];Hate
otoyz789;Cibeng cinabrengsek;['None'];Hate
api_tinju;Cina NGENTOT;['None'];Hate
rajapratamalubis;Cina anjeng udh menumpang di Indonesia malah meleceh pulak berani kau sama wanita sama pria berani gk kau;['None'];Hate
andiwijaya12358;Cina anjing;['None'];Hate
akuphi;Cina anjing komunis;['None'];Hate
tama_t26;Cina anjing makin ngelunjak d negeri ini taik;['None'];Hate
anginbiru_88;Cina babi bangsat kau Tendang aja ni binatang cina anjing ke tiongkok tempat asalnya;['None'];Hate
evandrizki;Cina babi cina setan bangsat benalu kau eh para elit politik para petinggi negara para petinggi polri kalian mau diam terus n memanjakan setan Cina ini bangsat;['None'];Hate
ariadihadi;Cina babi tu kayanya;['None'];Hate
irasafitri53;Cina bangsat;['None'];Hate
iksan_v.nta;Cina bangsat cina ngentot;['None'];Hate
ricky_alamsah;Cina bqngzat ye kayaknye;['None'];Hate
zazabulu07;Cina celeng;['None'];Hate
agobango;Cina codot;['None'];Hate
chie.anggrainy;Cina gila;['None'];Hate
irasafitri53;Cina kampang lu y;['None'];Hate
robymarco35;Cina kontol;['None'];Hate
kang_ny0;Cina kupret bikin ulah lgi smoga bpk TNI segera menindaklanjuti;['None'];Hate
ulertomat;Cina sampah;['None'];Hate
sr8353028;Cina semakin menjadi anjayyy;['None'];Hate
rifqifadeel;Cina tai lu orang;['None'];Hate
farrasrundengan;Cina tolol cina goblok;['None'];Hate
forever_creations05;Cina ya semakin kurang ajar;['None'];Hate
ffebra_oktariansyah;Cinaaa bangsattttt yg cinaaa kaya gituu bangsatttt;['None'];Hate
faridarafif;Cinaaaa dafuq;['None'];Hate
febikurniawan_24;Bagus pak;['None'];Not_Hate
sanusi_imran;Bagusnya digoreng tu;['None'];Not_Hate
ifitjr11;Bagusnya dipancung itu orang;['None'];Not_Hate
putera.w1_gg_united;Bah Cemana ny min Orang ny itu itu aj ku tengok;['None'];Not_Hate
kopikeppas_sidikalang;Bah bettul nyabimi mbak;['None'];Not_Hate
p.hindhardika;Bah kasihan tidak dianggap rakyat sendiri wkaw ngakak;['None'];Not_Hate
nova_agentberl_cosmetic;Bahahahaha;['None'];Not_Hate
iuan_dz;Bahasa English nya pak Anies kok gak ada yang protes yaa;['None'];Not_Hate
rissaraihan2;Bahkan di qur an pun jelas umat islam harus membela agamanya;['None'];Not_Hate
droneino;Bahlul;['None'];Not_Hate
rose38id;Bahlul antum SAUD;['None'];Not_Hate
uncle_zack;Bahlul bin bungul laknatullah alaiih;['None'];Not_Hate
erlangga.ipit;Bajer;['None'];Not_Hate
bangale2;Bajingan;['None'];Not_Hate
fitriyaalestaryy;Bajingan Provokator asu Gak bisa ngredam suasana malah bikin tambah panas Buat lo yang POST lo gak lebih dari seekor ANJING;['None'];Not_Hate
mamalika624;Bajingan tengik makin menjadi sama pribumi;['None'];Not_Hate
arief.koto.14;Bakal terjai di t yg lain Kasian presiden;['None'];Not_Hate
abd_qohar54;Bakalan di usut satu kampung ini;['None'];Not_Hate
the_bangkes;Bakar;['None'];Not_Hate
anamira_komala;Bakar TUMAN;['None'];Not_Hate
roesly79;Bakar aja;['None'];Not_Hate
arisbudiasa;Bakar hidup;['None'];Not_Hate
fajarsubhi90;Bakarrr;['None'];Not_Hate
ifanaffandy;Bakarrrr;['None'];Not_Hate
zitojink;Bakul obat;['None'];Not_Hate
reniabunawar;Balik lu k negara lu bikin kesal bgt ni manusia;['None'];Not_Hate
burger_official19;Ban jokowi;['None'];Not_Hate
budi.suyanto.7330;Banci babi tu olang;['None'];Not_Hate
4dien_aje;Banci kaleng itu mah tandain mukanya;['None'];Not_Hate
sulaiman_sastrodihadjo;Bandot;['None'];Not_Hate
desiristanti1;Bandung gokil;['None'];Not_Hate
mahani.nuraini;Bandung hebat jagoanlah cihuuuuuyyyy;['None'];Not_Hate
billylewandowsky;Bandung kapan nih;['None'];Not_Hate
rr_zakiyyah5274;Bandung keren;['None'];Not_Hate
aryani2305;Bandung lautan api Semangat mereka tidak pernah bisa dipadamkan;['None'];Not_Hate
km01_paint;Bandung mantab;['None'];Not_Hate
arissutiaris;Bandung mantap pisann ke mun lewat ken masi te trimaas uwingg presiden hsil;['None'];Not_Hate
widiyani21;Bandung tea atuh;['None'];Not_Hate
ummysarrah;Bandung teaaaa;['None'];Not_Hate
iam_nurass;Bang N_Target;['hotmanparisofficial'];Not_Hate
wijay_veejay;Bang nitip sekalian kalau ketemu ini orang sunatin sekali lagi;['None'];Not_Hate
wily_agustian;Bangeeeddd;['None'];Not_Hate
lulutevioptus2;Bangeeeeeeeeeeeeeeeeet;['None'];Not_Hate
nank_8421;Bangeeeeeeeet;['None'];Not_Hate
nabilmnur;Bangeeeeettt;['None'];Not_Hate
nollynur8;Bangeeeeettttss;['None'];Not_Hate
yenny2262;Bangeeeet;['None'];Not_Hate
maulidautomo;Bangeeeetttt;['None'];Not_Hate
ayi_za76;Bangeeet;['None'];Not_Hate
norjanah45;Bangeeet se;['None'];Not_Hate
umi_lmi;Bangeettt;['None'];Not_Hate
didiksuryana;Bangeettttttt;['None'];Not_Hate
sugengbudi0163;Banget;['None'];Not_Hate
hermanvalufi;Banget Tumbang kan Rejim sintoloyo;['None'];Not_Hate
galery_afifah;Banget banget ah;['None'];Not_Hate
slv_esa23;Banget setuju nya;['None'];Not_Hate
mr.g_nugroho;Bangett;['None'];Not_Hate
wiwienagus;Bangetttt;['None'];Not_Hate
adang.hermawan;Bangetttttt;['None'];Not_Hate
rndsfiafd1512;Bangeut;['None'];Not_Hate
zha_46;Bangeuuuuudddd;['None'];Not_Hate
amirudin_ibnu_sidiq;Bangga indo punya putra terbaik bangsa ini;['None'];Not_Hate
hasni_hosny;Bangga nyaaa ini baru presiden kitaa;['None'];Not_Hate
firdaaprie_firmanti;Bangga sama pak Anies tapi pujilah orang tanpa harus menjatuhkan org lain Itu gak menunjukkan km lebih baik min;['None'];Not_Hate
ah_maesuri68;Bangsaaat yg suka hina ulama;['None'];Not_Hate
aanputra5620;Bangsat;['None'];Not_Hate
binafa._;Bangsat kok saya yg kesel liat congorx;['None'];Not_Hate
den.mas14;Bangsat ni org pgn gw tonjok gigi lu sampe rontok bangsat;['None'];Not_Hate
rayendra84;Bangsat tu orng klo ada aq disana saya finis him tu orng;['None'];Not_Hate
trisulis.alzy;Bangsat tuh orang;['None'];Not_Hate
fadhil.yannas;Bank kok ngene rekk mending multi bank di simpen di sini dan sono biar klo bermasalah ada cadangannya kayak genset;['None'];Not_Hate
ida130956;Bank sendiri dan station TV sendiri untuk mengimbangi berita rekayasa;['None'];Not_Hate
aldosyahir14;Bank toyib;['None'];Not_Hate
yeffriansjah.s;Banknya mas sandi bukopin ya gunakan itu saja;['None'];Not_Hate
angkek_simelue;Banser;['None'];Not_Hate
ade_af91;Banser Banser tolong ado yg mau makar iniiii;['None'];Not_Hate
zaffrullah24;Banser NU;['None'];Not_Hate
wahyuananto29;Banser apaan itu ya;['None'];Not_Hate
wildshaf;Bantai aja tuh orang;['None'];Not_Hate
myheroyuki;Bantai nih babi;['None'];Not_Hate
indrawhydi_;Banyak uang dan cewe;['None'];Not_Hate
dimitria1130;Banyak yg awam hnya tau brita yg indah indah d tv jd muja muji kerja nya presiden yg dimenangkan pdhl;['None'];Not_Hate
jank_muiz;Bapak N_Target lihat ini pak begitu cintanya rakyat kepada bapak Jangan sakiti mereka yg berjuang pak saya yakin dan percaya bapak tidak akan melakukan itu;['prabowo'];Not_Hate
bangpoh86;Bapak adalah Peresiden sesuai dgn pasal UUD selamat;['None'];Not_Hate
novalindaa_;Bapak meni keren;['None'];Not_Hate
akisherman2018;Bapak pinter pisan;['None'];Not_Hate
mohammadmardiono;Bapak sehat pak;['None'];Not_Hate
suwardiwiratama;Bapak yg satu ini dikeroyok dr segala penjuru krn beliau sudah dikepung pengkhianat negara pengkhianat yg jual negaranya ke asing demi memperkaya diri sendiri semoga alloh melindungimu pak;['None'];Not_Hate
nonongxx;Bapamu ni N_Target;['fris'];Not_Hate
windy_setyani;Barakallah;['None'];Not_Hate
elia93400;Barakallah Ustad;['None'];Not_Hate
dhannylov929;Barakallah be sehat slalu tetap hati jangan sampe jadi tersangka be ane tau babe gak takut masuk penjara tapi kalo masuk kan nanti kekuatan berkurang be N_Target;['haikalhassan_quote'];Not_Hate
icih_caroline08;Barakallah fiikum Habib;['None'];Not_Hate
poppy.magdalena;Barakallah pak Anies;['None'];Not_Hate
masnahana;Barakallah pak Anis;['None'];Not_Hate
arif_himawan92;Barakallah pak anies Presiden;['None'];Not_Hate
mama_nisya_rey;Barakallah pak anis;['None'];Not_Hate
narisayekti;Barakallahu Fikum Buya Yahya;['None'];Not_Hate
nurasiagorgasiregar;Barakallahu apa bisa ya si jae beginian ekekekeekk;['None'];Not_Hate
ray_barbershop;Barakallahu fiik pak Anies;['None'];Not_Hate
rinjohara;Barakallahu pak Anis;['None'];Not_Hate
dewiatang_212;Barakallohu habibbana;['None'];Not_Hate
aj.buddyp;Barang haram dipakai malah membikin gelisah;['None'];Not_Hate
sujanaengkan;Barokallah;['None'];Not_Hate
nunacookies18;Barokallah fiikum p Anis semoga Allah pelihara anda dri fitnah dunia akherat selalu sehat dan dlm rahmad Allah amiin;['None'];Not_Hate
korokoroki;Barokallahu fiykum barisan Jundullah;['None'];Not_Hate
ahmadsyarif.heryadi;Barokalloh Pak Anies;['None'];Not_Hate
niken_brownies;Barokalloh fiik ustadz;['None'];Not_Hate
suminartiimas;Barokalloh pa semoga Indonesia bisa dipimpin seperti beliau;['None'];Not_Hate
o_ih76;Barokallohufik Ustadz Fadlan Algaramatan;['None'];Not_Hate
brawijayasupllaier_service;Barrakallah habib Terbukti saat ini;['None'];Not_Hate
bookharee_man_up;Baru bisa ngajakin masuk Islam pak ogah aja udah mulai berani nih si emif;['None'];Not_Hate
budinoye;Baru kali ini pemimpin dak dihargai dg rakyatnya;['None'];Not_Hate
ingcollectiont;Baru liat lgsg merinding Aids skrg udh banyaj;['None'];Not_Hate
chuspri;Baru punya satu modal siapkan modal lain nya;['None'];Not_Hate
51298_sadra;Baru sadar dulu kemana ajah;['None'];Not_Hate
hdani;Baru sedikit yg merasa gerah he bentar lagi akan lebih banyak yg kerasa semoga bersatu;['None'];Not_Hate
ramdhan616;Baru tau gw ada demobener tv jaman now;['None'];Not_Hate
sadhamchocs_;Bau Pak jokowi priode;['None'];Not_Hate
yudhicom;Bau babi mulutnya;['None'];Not_Hate
emiwati63;Bawa kedebok pisang buat apa itu;['None'];Not_Hate
makmur.muhammad;Bayangin klw Tu posisi pak president ditanya panjang lebar seperti itu mnggunakan english speak What happened;['None'];Not_Hate
chila_070716;Bebas dengan minta maaf;['None'];Not_Hate
saepulbhary;Bebas klau orang kya gini mahh;['None'];Not_Hate
sandy.hash;Bebas mah dia ga bakal di kasus kan;['None'];Not_Hate
zenal.mutakien;Beda banget sm presiden;['None'];Not_Hate
tinul_401;Beda gak ya sama tukang palak;['None'];Not_Hate
ida130956;Beda kelas;['None'];Not_Hate
adeofficial12;Beda lah beban hidup sama berat mobilmah;['None'];Not_Hate
apudmahpudin;Beda level pemikiran Beda level kebijaksanaan dan beda level segala galanya So start from now i will stop comparing coz it is mot comparable;['None'];Not_Hate
mohana_clearesta;Beda perlakuan antara ISLAM DAN KRISTEN;['None'];Not_Hate
lailannazly;Begitu nasib kl negara berutang rakyat yg hrs membayar derita mkn panjang ajaaaaa;['None'];Not_Hate
raufnanny;Begitulah Indonesia yg tdk pernah menghargai kerja keras anak bangsa;['None'];Not_Hate
bebebnanoey;Belajar berhitung gaes;['None'];Not_Hate
bunda.dara.dzaky;Belajar dicomberan;['None'];Not_Hate
maikaltar;Beliau ini habib rizieq mas bukan rijik anda hati klau berbicara anda nanti mau minta syafaat sama siapa Ini bukan orang NU orang NU itu Ahlussunnah wal jamaah;['None'];Not_Hate
ayu_aida98;Beliau kacau jadilah NEGARA KACAU BELIAU;['None'];Not_Hate
sonyaaaaw;Beliau pun hampir melecehkan teman saya juga waktu malam didaerah kelapa hybrida pas teman saya pulang kerja Kayanya emng beliau gangguan jiwa kalo beliau ngegodain cewe tp sama cewe ga direspon bakal dikata katain seperti itu Ruko beliau bersebelahan dengan tempat saya bekerja daerah hybrida kelapa gading;['None'];Not_Hate
bambang_fahrozi;Beliau yakin jeruk takkan makan jeruk atasannya satu prinsip dg nya ingat herbertusjk;['None'];Not_Hate
t4ntri_27;Beliaunya mah mungkin ngga pengen KITA YG PENGEN Pak;['None'];Not_Hate
rsnou;Belum lagi rencananya impor rektor penguasa skrng rada rada kecompret;['None'];Not_Hate
fajarezan;Belum tau aja si cowok kalau cewek udh ngamuk untung mbak nya sabar;['None'];Not_Hate
fadelmuhammadfriz;Benalu gokil kayak ndase;['None'];Not_Hate
nurul766hi2019;Benar banget bang Rocky;['None'];Not_Hate
alle_man87;Benar benar terbuat dari apa hatimu pak prabowo Yg sebelah mah kalah x pernah dtg ke pelantikan gak siiih;['None'];Not_Hate
hanakaru33;Benar bgt min itu si entong belum di sunat x;['None'];Not_Hate
enno_kurnia;Benar sekali itu;['None'];Not_Hate
anwaricandra;Benar yg diucapkan BAPAK SOEKARNO KITA MELAWAN BANGSA SENDIRI PRAYFORPAPUAPAPUASATUNKRI;['None'];Not_Hate
abiabi9674;Benarkah ini min;['None'];Not_Hate
iwan0731;Bener banget;['None'];Not_Hate
anwar_7963;Bener bener merinding moga yang lain gitu juga;['None'];Not_Hate
tatisiregartati;Bener ga neeh beritanya Klw bener seneng banget;['None'];Not_Hate
evanssukasuka;Bener gak dianggap;['None'];Not_Hate
kepompongkupukupu123;Bener ini min bukan vidio kmaren kampanye kan;['None'];Not_Hate
ming_miaalbasir;Bener kata rocky gerung Pak jokowi memang menang di MK namun legitimasi kemenangan yg sesungguhnya ada di rakyat;['None'];Not_Hate
niennovitasari;Bener nih gubernur Indonesia N_Target N_Target N_Target N_Target N_Target;['acan07', 'kenkenar', 'adelisasardi', 'aldousadela', '_siitast'];Not_Hate
nopalempire.c;Bener sekali Gus Saya ini asli tdk NU tp salut dg anda Sabar sj Gus dan selama ada kebatilan dan kecurangan saya yakin anda salah satu yg menentangnya walaupun banyak munafik dan penghianat bangsa pd memusuhi anda Saya yakin Allqh bersama anda;['None'];Not_Hate
pancarsarana;Bener ucapan bung RG di ILC yg presiden tdk ada beban lg maka bila merampok jg tdk ada beban;['None'];Not_Hate
herudirgo;Beneran min Ruar biasa Mesti ada kejadian tak terduga terjadi nieh;['None'];Not_Hate
halimatussadiyah_77;Beneran teh Seriusan Biayanya Terus ngutang lg gitu BPJS apa kabarnya Lieeurrr saya mah;['None'];Not_Hate
esa_setya;Bentar lagi mati bocah itu;['None'];Not_Hate
diazayta;Bentar lg jg minta maaf sambil nangis;['None'];Not_Hate
bambang_fahrozi;Berani karena beliau yakin;['None'];Not_Hate
irawandee5;Berani mereka terang an karena melanggar UU;['None'];Not_Hate
yudhicom;Berani ngk pak polesong bubariin;['None'];Not_Hate
siddiq_bin_achmad24;Berani ny sama cewe belom pernah makan golok kali tu mulut ya;['None'];Not_Hate
wijanarko4312;Berani nya sama cewek mulut kaga disekolahin bangke;['None'];Not_Hate
m.alinur1976;Beraninya sama perempuan ngomong yang tak pantas padahal dia lahir dari seorang ibu yg juga perempuan sungguh perilaku yg tak terpuji dan tidak patut dicontoh;['None'];Not_Hate
adhikarautomo;Berapa sih pengaruhnya ibu beli tas impor terhadap neraca perdagangan Indonesia Haduuh Impor komoditi tuh baru gede pengaruhnya;['None'];Not_Hate
vinny_cantik;Berarti kan memang ada kecurangan tuh Knp kata MK ga ada Poniang kami rakyat jelata nih meliat keatas;['None'];Not_Hate
tatang.mardiana;Berarti pinter c udin awas din ada rajia kena tilang nyata di dunia;['None'];Not_Hate
_dcahyo;Berarti putin paham sma Islam Nice;['None'];Not_Hate
ivonneayesha;Berarti seruan hati nurani rakyat sengaja diremehkan ya min;['None'];Not_Hate
tinihariss;Berasa Presiden bicara ke dunia;['None'];Not_Hate
firmanpi;Berat suara anis untuk jateng dan jatim sandiaga mending sama jenderal gatot nurmantyo;['None'];Not_Hate
ronipramidya;Berbahagialah kalian dengan pilihan kalian bong;['None'];Not_Hate
neng.idiiw;Berdebat dgn kebuduhannya sendiri;['None'];Not_Hate
iqbal_makaro;Bergetar hati ku Masya ALLAH;['None'];Not_Hate
kiki_bendre;Berhubung yang ngomong matanye kagak lebaaar Ntr yg diproses yg dikata in jadinyaa Semoga Allah melindungi anda mbaa Krn hukum di sini tau sendiri laaah;['None'];Not_Hate
linnydharma;Berikan ajalah dulu yg terbaik untuk negri ini;['None'];Not_Hate
bunda.dara.dzaky;Berita lama;['None'];Not_Hate
raaraaa_09;Beritax beda banget dgn di media cuma ini yg berbeda;['None'];Not_Hate
lenaria6;Berjuang belum usaiiii;['None'];Not_Hate
andikatubqk00;Berjuang tete;['None'];Not_Hate
bradjasakti;Berkelas Gubernur rasa presiden;['None'];Not_Hate
codotfirman;Berpakaian tapi telanjang;['None'];Not_Hate
torro_poy74;Berpikir positif aja jangan menghakimi dgn apa yg dilakukan bertemu krn itu bisa memperpecah kita dukung sampe membuktikan apa yg terjadi;['None'];Not_Hate
firman_mu21;Berrak;['None'];Not_Hate
apakabarfriend;Bertarung dengan TGB nanti di;['None'];Not_Hate
murwahyuni06;Besok besok kl lewat lg sorakin lg;['None'];Not_Hate
suwardiwiratama;Betapa susahnya mencari sosok penegak hukum yg jujur dan amanah dinegeri ini diantara banyaknya orang pintar dinegeri ini sangat sulit menemukan orang yg jujur dan amanah apakah ini pertanda akan hancur leburnya kehidupan berbangsa yg berasas keadilan sosial bagi seluruh rakyatnya;['None'];Not_Hate
_ilham_y;Betol betol betol;['None'];Not_Hate
arsenio3007;Betul;['None'];Not_Hate
ermaprihartini;Betul FPI selalu di dpn membantu rakyat;['None'];Not_Hate
syfha_ramadhan;Betul aja firasat gw;['None'];Not_Hate
bglee07;Betul banget;['None'];Not_Hate
qadari_hiyadara;Betul betul betul;['None'];Not_Hate
duaempat_property;Betul betul betul Gus;['None'];Not_Hate
najwashop08_;Betul gus ngeri lihatnya udah bosan rezim ini ngubar ngubar janji BUMN satu persatu runtuh tandanya apa ini;['None'];Not_Hate
karim_maliq;Betul n Bnar bget Tidak Terbantahkan;['None'];Not_Hate
muhammadilhamumar;Betul pak Anis;['None'];Not_Hate
elangbiru737;Betul sekali itu ungkapan Aa Gym;['None'];Not_Hate
rikoseptianton;Betul setuju biar ketahuan kerja ngapain;['None'];Not_Hate
nismaislami;Betulll;['None'];Not_Hate
sukandi.akhmad;Beuuhhh ini presiden jakarta speaking well english;['None'];Not_Hate
lindlcrochet;Bgm ni N_Target N_Target N_Target N_Target N_Target;['jokowi', 'kemendagri', 'jusufkalla', 'infotemanjokowi', 'wapresri'];Not_Hate
latrisa_la;Bgtt;['None'];Not_Hate
saepulbhary;Bgtt Pasti indonesia disegani dunia;['None'];Not_Hate
irawan1680;Bhs Inggris nya lancar ya seperti saya N_Target N_Target N_Target N_Target;['gintingkecil', 'rahmatakbarmz', 'mhdfadhila_', 'biimasatriia'];Not_Hate
bekam_bdg;Biadab;['None'];Not_Hate
hannasyukurr;Biadab laknat tuh orang;['None'];Not_Hate
arasharcy;Biadap tu orang;['None'];Not_Hate
tinul_401;Biar apaaa coba pada gitu;['None'];Not_Hate
vuad_hassan;Biar azab allah yg membalas org curang atas kuasa mereka di dunia;['None'];Not_Hate
_bokengslowlay;Biar bangkrut;['None'];Not_Hate
achonk1468;Biar minggat smua;['None'];Not_Hate
